date,expression,value
12010331,32-0-0-11-13,8
12010332,30+2-20/1-3/1,9
12010333,3*23+0+0+31/1,100
12010334,20/30+1/3*4+1,3
12010335,15+20-30-3/1,2
12010336,60+12-30-31,11
12010337,3*10-1*30-2+7,5
12010338,30-13+0-18+2,1
12010339,9+1*10-20+3+3,5
12010340,0+0-20+11*3-4,9
12010341,12-40+30-1*1,1
12010342,0+14-0+2-13-2,1
12010343,30-4+3+1-0-21,9
12010344,43+1-1-42+0+0,1
12010345,5-0+21+10-34,2
12010346,30+1-10-4/2*6,9
12010347,2-7-0-11+30-4,10
12010348,48/32*10-10,5
12010349,0-23/1-10+9*4,3
12010350,30-0-0-21-5/1,4
12010351,12-13+50/10,4
12010352,12-5*3+0+10+2,9
12010353,0-1-30+21*5/3,4
12010354,2+4-1-30/10+5,7
12010355,1-5-25+30+0+1,2
12010356,5*32/10-6-10,0
12010357,1-27-13-0+50,11
12010358,80+31-5*10*2,11
12010359,5-20*1+0+31-9,7
12010400,0+40/2-0-11+0,9
12010401,1+20+0-4-10/1,7
12010402,21-21-0-0-0+4,4
12010403,32-0-0+11-40,3
12010404,0-41+0-1+42-0,0
12010405,10+0-20+1*5*4,10
12010406,60-11*20/4-0,5
12010407,10/2*4/10-0+7,9
12010408,1-2*40+1*80+0,1
12010409,0+41+0-10-29,2
12010410,2*10-14-1+0+0,5
12010411,0-14+1-0+11+2,0
12010412,0-12-21+40-1,6
12010413,0-3+0-14+21*1,4
12010414,4-0+12-10/1-4,2
12010415,10*52-10*41,110
12010416,20*1-6*1-14+0,0
12010417,1+70/1/10+2-4,6
12010418,40*1-0-21+81,100
12010419,1*9-20/10+1*4,11
12010420,0-0-1*10*2+24,4
12010421,20+2+1-0-11-4,8
12010422,2+0+0+4/12*21,9
12010423,20+0-14+1*3+2,11
12010424,0-2-14*1+24+0,8
12010425,42*2+11+0+0+5,100
12010426,21*2-40+0+1+6,9
12010427,10+2-14/7-2+0,8
12010428,10+22+0-18-4,10
12010429,40-10+2-29-1,2
12010430,3-0-0-0+21-14,10
12010431,1+10/30*24-1,8
12010432,3-21+0+0+24+1,7
12010433,10-32*1+30-4,4
12010434,0-10*4+1+42-3,0
12010435,5+20-4+0-13-1,7
12010436,10-0-14+6+2+3,7
12010437,21-0-10*3+4+7,2
12010438,0+18-40+31+2,11
12010439,32+0+0+19-41,10
12010440,10*4*2/4+0-10,10
12010441,14-20+0+14-1,7
12010442,0-21-20/1+44,3
12010443,3+4+14-0-12-0,9
12010444,4+40-0+1-41-2,2
12010445,21-40-15+40,6
12010446,1*6+40-1*40+2,8
12010447,74+11+0-40*2,5
12010448,4*10-0+48+12,100
12010449,0+49+20+41+1,111
12010450,14-0-20+15+0,9
12010451,0-41+5*10*1+2,11
12010452,10-42/21*5+0,0
12010453,4+15-0+3-10*2,2
12010454,5-24+40-10/1,11
12010455,0-5+25+0-14+1,7
12010456,5*12+4-60+0-1,3
12010457,21+0-0-57+41,5
12010458,12+84+15+0-0,111
12010459,2+0+11-90/45,11
12010500,50-0-0+1-0-21,30
12010501,0-10*1-1+20-5,4
12010502,20*1+2-15+0+0,7
12010503,0+30+51+20-1,100
12010504,20+41+0+50*1,111
12010505,0+2+1+0-51+50,2
12010506,5-16-0+0+1*20,9
12010507,70+0+52-1-10,111
12010508,0+5+0+8+10-21,2
12010509,20*5/1-0-90*1,10
12010510,15/1+2-10+0-0,7
12010511,0-1*15+21/1-0,6
12010512,5-11+12+0+0+2,8
12010513,0-5+30*1-21*1,4
12010514,24-10-1-5+0+1,9
12010515,1+0-1-10+2*55,100
12010516,0+26-5+1-0-11,11
12010517,10-5+2-11+0+7,3
12010518,50-21-10+81,100
12010519,19+5-12-0-1-0,11
12010520,10-12-2-0+5-0,1
12010521,2+15-1-0-10+2,8
12010522,11-2*5*2+20-0,11
12010523,20*2-51-0+13,2
12010524,4+2*10/20+1+5,11
12010525,50+0-2+11-52,7
12010526,0-62+52+10+1,1
12010527,11-52+70-20,9
12010528,52-0-2*11+80,110
12010529,10-9+10-5-2/2,5
12010530,30-51+0+0+21,0
12010531,31-51-0+2*10,0
12010532,0-1-23+5+21+0,2
12010533,15-20/1+0+3*3,4
12010534,0-51*2/3+41-0,7
12010535,5*3+0-20+15/1,10
12010536,1+0-26-5+30*1,0
12010537,73+15+0-0+12,100
12010538,20-31+8/1-0+5,2
12010539,0+0+2*15-31+9,8
12010540,0+10-14+2+5-0,3
12010541,4/1+1+0+20-15,10
12010542,42/2-0-5+0-11,5
12010543,15-30+4+12-0,1
12010544,0+14+5*20+1-4,111
12010545,25-15+0-10+4,4
12010546,52+6-40-11+0,7
12010547,5+0-1+10-42/7,8
12010548,5+1*4/8*20-10,5
12010549,21/1+94-0-5+0,110
12010550,2+10/5-0+10-5,9
12010551,10/50*2*5-1/1,1
12010552,51+2+1-0-50+2,6
12010553,25+0+0+1+5-31,0
12010554,1*55-10-2-40,3
12010555,1-52+10+50-5,4
12010556,60-2-1-1+0+55,111
12010557,5*15-70-0+2-1,6
12010558,2-51+50+8*1-0,9
12010559,20-19-0+15/5,4
12010600,1*60+0-20-10,30
12010601,0+60/12+0+1-1,5
12010602,10-26+20-0+1,5
12010603,20-1+30+61-0,110
12010604,0+4+2*10-16+0,8
12010605,50-16*2-0-10,8
12010606,0+60*12/6-10,110
12010607,16-20+1-0+0+7,4
12010608,2-8*10/10-0+6,0
12010609,19-0-6+0-12-0,1
12010610,60/20/1/1-0+1,4
12010611,10+0-12-6+11,3
12010612,0+1*20+11-26,5
12010613,6/1+10-10*3/2,1
12010614,1*6+0-10-4+12,4
12010615,11+1+50-62+0,0
12010616,0-0-1*61/61+2,1
12010617,7-0+16-10-1*2,11
12010618,10+0+12-8*1-6,8
12010619,91-1-21-60-0,9
12010620,12+0+6+0+0-12,6
12010621,10-26+10+12,6
12010622,0+2+1-6+20-12,5
12010623,21-6-0+0-12-3,0
12010624,42*60/21-10,110
12010625,56+0-11-20*2,5
12010626,1+20-1-20-6+6,0
12010627,10/10*72-62,10
12010628,80+6/1+12-0+2,100
12010629,6+0+22-1*10-9,9
12010630,1+30*20/10/6,11
12010631,1+30+0-1/1-26,4
12010632,23+6+0-0+1-21,9
12010633,0+62+1-30-31,2
12010634,6-20+4+0+13/1,3
12010635,26+10-0-35*1,1
12010636,61/20-3/60-1,2
12010637,7+3+0-20+16-1,5
12010638,8-0-23*1+16-0,1
12010639,9*3-26+10-10,1
12010640,20-0-4-0-16+1,1
12010641,12*1+0+6+0-14,4
12010642,4+0-0-21+21+6,10
12010643,0+24-16+1+0-3,6
12010644,20+1-0-14*6/4,0
12010645,25-0+40-61*1,4
12010646,6+4-6-1/10*20,2
12010647,2-17+60+0-41,4
12010648,80*2/10-1-4-6,5
12010649,29-6-4+1-10-0,10
12010650,0+60-0-52+1+1,10
12010651,0-12-0+15+6/1,9
12010652,5-0+12-0-21+6,2
12010653,20/5-0+16-13,7
12010654,0+56/14+0-1*2,2
12010655,0+50+2+6-51*1,7
12010656,6+2+0+16-15+0,9
12010657,7+5*11+0-62-0,0
12010658,51-10-0-8-26,7
12010659,1-29-0-16+50,6
12010700,7+0+20-11-0+0,16
12010701,0+2+11-70/10,6
12010702,0-27+10+20*1,3
12010703,0+32-1-1-0+70,100
12010704,0+40-27-10*1,3
12010705,72-50-11-0-0,11
12010706,0+61+70-21+0,110
12010707,0+0+17+7-21+0,3
12010708,0+8-0+17*1-20,5
12010709,70+1-0+29*1+0,100
12010710,1+0-11-7+20-0,3
12010711,0+21/1-0+1-17,5
12010712,0-7-10+22-1+1,5
12010713,12-70/10-3/1,2
12010714,24+11*7+10-0,111
12010715,0+25*1+0-1-17,7
12010716,0+11-72+0+61,0
12010717,10+72-70-11,1
12010718,7+0-1+0+21-18,9
12010719,1+97+0+12+1-0,111
12010720,0+12+17-20+0,9
12010721,22-7-0-0-11/1,4
12010722,1/1-0+22-20+7,10
12010723,10-32-0+21+7,6
12010724,71-2+0-0+1*42,111
12010725,71-10+52+0-2,111
12010726,21+60-72-0+1,10
12010727,2+77+21+0+10,110
12010728,0-28*2+71-10,5
12010729,2*11-90+72-0,4
12010730,10-30-0+27-1,6
12010731,1+70/1-20*1*3,11
12010732,2*71-32-0+0+1,111
12010733,71+32+10-3+0,110
12010734,74-0+0-3*1*21,11
12010735,51/3-10+2+0-7,2
12010736,61-17*3+0-0-2,8
12010737,0+12-0+13-7-7,11
12010738,31-0-2*18-0+7,2
12010739,19-10+30+72,111
12010740,0+17-20/10-4,11
12010741,10*10-7*14+2,4
12010742,10+27-20-14,3
12010743,42-0-3+71-10,100
12010744,41-7-0-4-20/1,10
12010745,0-0+25+1-4-17,5
12010746,7*10/1+24+0+6,100
12010747,71-70+1+0+2-4,0
12010748,71-0+21+0-84,8
12010749,17-0+2+0+4-19,4
12010750,52-11-0-0+70,111
12010751,15+7*1+0-1*20,2
12010752,15+0-7-20+12,0
12010753,31+1-50+0+27,9
12010754,20-15-70/14,0
12010755,27+0-5-5-0-11,6
12010756,0+0+15-17+6-2,2
12010757,2-1-50-17+70,4
12010758,20-18-0-7+15,10
12010759,91-25+10-70,6
12010800,80*20/10+1+0,161
12010801,1*20+0-10-8-1,1
12010802,1+8-0-10/20*2,8
12010803,30-2+1+81+0-0,110
12010804,20*4+1+0+0-81,0
12010805,1*25-8-0-10-0,7
12010806,0-6+18-0-0-12,0
12010807,0+18-0+12+70,100
12010808,1-0+1-80/80+2,3
12010809,12-0-0+0+1*98,110
12010810,10+0-10+1/2*8,4
12010811,10-1-20+18/1,7
12010812,10-12*2+18-0,4
12010813,20-31+10+1*8,7
12010814,0-14+12*1+0+8,6
12010815,20*15/10+81,111
12010816,18-20+0+11-6,3
12010817,0+1-0+21*1+78,100
12010818,2-0-0+81-81/1,2
12010819,1+9+1+2-80/10,5
12010820,10+0+12+80-2,100
12010821,8+2-2+1*10-10,8
12010822,28-21-0+1+0-2,6
12010823,28+12-10-30,0
12010824,41-0+1-22+80,100
12010825,25+2-10-8-0+1,10
12010826,10+16+2+0+82,110
12010827,2+0+27-0+81*1,110
12010828,80*28/1/20-1,111
12010829,18-0+21-29+0,10
12010830,38+0-10-20-1,7
12010831,11+0+20-3-18,10
12010832,13-0+18-22+0,9
12010833,8/2-13+0+0+13,4
12010834,0-11+20+8-3*4,5
12010835,15+0+18+0-32,1
12010836,80-63/1-12-0,5
12010837,0+17+0+21-38,0
12010838,83-11+0+20+8,100
12010839,8+20/1+93-10,111
12010840,80/10-4+10/2,9
12010841,81+0+14*2+0+1,110
12010842,22*40/1/80/1,11
12010843,80-11-34*2-0,1
12010844,4/2-0+18-14+0,6
12010845,58-40-1-12-0,5
12010846,80-62-1*14-0,4
12010847,41-0-8+0-27+1,7
12010848,10-8+24-18+0,8
12010849,4+8+10+91+0-2,111
12010850,0-5+8+10/10+2,6
12010851,15-18/2+0+1-0,7
12010852,22-18+50/10,9
12010853,5-28+0-0+31-1,7
12010854,0-14+20+8-1-5,8
12010855,5-11-8-0+5+20,11
12010856,10-10+25+86,111
12010857,50+12-70+1*8,0
12010858,81/1-0-50-28,3
12010859,0+5+10-92+81,4
12010900,20-0-0-11-0+9,18
12010901,19/1-10-2-0+0,7
12010902,2+20+0+0-19/1,3
12010903,12+0-30-0+19,1
12010904,0-20+11+0+9+4,4
12010905,10+0-20*5+91,1
12010906,29+10+1+0+60,100
12010907,17-90/10+0-2,6
12010908,0-0+1+28-10-9,10
12010909,0-0+21*10-99,111
12010910,20+1-10-9*1-0,2
12010911,10*2+91+1+0-1,111
12010912,1+19-10+0-2/2,9
12010913,0+12-3-1*10+9,8
12010914,0+10*1+2-14+9,7
12010915,29-10-1-10-5,3
12010916,6*20+1*10-19,111
12010917,12+7/1-0+0+91,110
12010918,80-90+1+12-1,2
12010919,2+91-1-91+0+0,1
12010920,2*9+10+0+1-20,9
12010921,21/1+10-29+0,2
12010922,10/1*9+22-2-0,110
12010923,19-2+21-30+0,8
12010924,9-0+20-1*2*14,1
12010925,29+0-21-5-0+1,4
12010926,60+21+20-91,10
12010927,0-0-29+17+21,9
12010928,90/1/1-2-0-82,6
12010929,11+9+0+20-29,11
12010930,0+10-12-0+9+3,10
12010931,1*10+29-31+0,8
12010932,20-0-19+21/3,8
12010933,1+0+1*2*30+39,100
12010934,40-32+0-9+11,10
12010935,90-31+1*52+0,111
12010936,9+0+0+13-16-2,4
12010937,7/1+0+29-31-0,5
12010938,20+9/3-18*1-0,5
12010939,90/2/1+0-39-1,5
12010940,0-0+41-21-0-9,11
12010941,20-14+0-11+9,4
12010942,2/10+4*9/20+1,3
12010943,1+93+20-14+0,100
12010944,2/1-0-1+49-40,10
12010945,20-14+9+0-5+1,11
12010946,2*46+9-1-0+10,110
12010947,90-0-2*4-11*7,5
12010948,0+9*41-20*18,9
12010949,0-20/4+19-9-1,4
12010950,0+1*21-0-90/5,3
12010951,20/1-19+10-5,6
12010952,12+2-15-0-0+9,8
12010953,10+10*3-5-29,6
12010954,10+0+9-52+41,8
12010955,5-10+2/10*5+9,5
12010956,59-10+0+62*1,111
12010957,0-19+15-0+2*7,10
12010958,9/5/18*20*1-0,2
12010959,90-59-11*2+0,9
12011000,10+10+0-0+12,32
12011001,21*1+0-11-0-0,10
12011002,1+2-2+10-10+0,1
12011003,11-0+0-0-12/3,7
12011004,10*10/40*2/1,5
12011005,0+0-15+20*1+1,6
12011006,0+11-10/20*6,8
12011007,0-12+17+1+0+0,6
12011008,10+0+18-20/1,8
12011009,0+1*9+10-20+1,0
12011010,0+10/10/1-2+1,0
12011011,11-1*20/10+1,10
12011012,21-0-1-12-0-1,7
12011013,1-0-0-13+2+11,1
12011014,20-1-11-1-0+4,11
12011015,5*1-2/10*10-1,2
12011016,1+1*16+10-20,7
12011017,7-0+0+11*2/11,9
12011018,18-10-10/2-1,2
12011019,91-11+20+10,110
12011020,10+10+2-10-2,10
12011021,11*2+0+0-21/1,1
12011022,1-1+0+22+0-12,10
12011023,30-2*10-1*2/1,8
12011024,1+1+1+40/20+2,7
12011025,0+12/1*5/20+1,4
12011026,0-12-10+26/1,4
12011027,27+10-11-20,6
12011028,2*11+8+0-21-0,9
12011029,0-2+10-1*12+9,5
12011030,0+11-2+0-10+3,2
12011031,3-2+0+11/11+0,2
12011032,1-22-0+10+13,2
12011033,13+0-31/1+20,2
12011034,10-0-12+3*4*1,10
12011035,20-1+3-11-0-5,6
12011036,11-30/10*2+6,11
12011037,27-1-30+0+11,7
12011038,13+0+1-2-10+8,10
12011039,1*19-3-0-10+2,8
12011040,4-2+10/10+0-1,2
12011041,14/1+10-20+1,5
12011042,0-0-1*41+21*2,1
12011043,13-0-0-12+1+4,6
12011044,4-14+0+20/1-1,9
12011045,52/4-11/1-0-0,2
12011046,0-0+21*6/14*1,9
12011047,2+4-11+70/10,2
12011048,2+11-0-14+0+8,7
12011049,41*2+10-90*1,2
12011050,20-0+0+1-5-11,5
12011051,10+15-1-10*2,4
12011052,11+20-20+1-5,7
12011053,0+12-5*3+11-0,8
12011054,41-1-20*10/5,0
12011055,12*10-50*1/5,110
12011056,1+0+12+0-15+6,4
12011057,7-11+5+0+10/2,6
12011058,0+12*10/15-8,0
12011059,5-20+0+19/1+1,5
12011100,0-10-1+2-0+11,2
12011101,11-10+10+1-2,10
12011102,12-20+11-0+1,4
12011103,11-30+0-1+21,1
12011104,0-12+11+0+4/1,3
12011105,1+0-20+15+11,7
12011106,2+1/10*10+6/1,9
12011107,10-7+11-10+2,6
12011108,1*10+21/1+80,111
12011109,19-0+2+0-11+1,11
12011110,0-0-11/11-1+2,0
12011111,11/1-21+0+11,1
12011112,10-21+1+21*1,11
12011113,12+1-13-0+11,11
12011114,1*12-0+11-14,9
12011115,10+12-15-1+1,7
12011116,6-12+0+1+11-1,5
12011117,1-0+17+1-12+1,8
12011118,0-8+12-11+11,4
12011119,0+11+11-19+2,5
12011120,1-20-0+1+21*1,3
12011121,11-20/2+11-1,11
12011122,12+2-1*12-1-0,1
12011123,12/1+21-30*1,3
12011124,1+11*10/22+4,10
12011125,12+11-12-0-5,6
12011126,11+12/6-12+0,1
12011127,1+12-20+11+7,11
12011128,2-0-11-1-2+18,6
12011129,21-12+10-19,0
12011130,11-13-0+12-0,10
12011131,11*2-31/1+10,1
12011132,11-3*1*10+22,3
12011133,11*3*1-30+2*1,5
12011134,0-11*1+42-31,0
12011135,3/1+1+20-15/1,9
12011136,31-11-0-2*6*1,8
12011137,27+11/1/1-30,8
12011138,8*11-20+31+1,100
12011139,0-21+13-1+19,10
12011140,10-12+11-0-4,5
12011141,1*12-10+1*1+4,7
12011142,14+0+2-12/1+1,5
12011143,31-14-10-1*2,5
12011144,1-0+1-1+24-14,11
12011145,1+21-51/1+40,11
12011146,16-11*1+4+0+2,11
12011147,7/14*10+1*1-2,4
12011148,14-18+20-11,5
12011149,10+1+2*41-91,2
12011150,10-12+1/1-0+5,4
12011151,20+5-11-11+1,4
12011152,21+2*1-15-1+0,7
12011153,1+1-5/30*12+1,1
12011154,14-0+5*1-12*1,7
12011155,2-0+1-15+15*1,3
12011156,11-1-15+20-6,9
12011157,0+1-15+17-1-2,0
12011158,10-8-11+15+2,8
12011159,1-51+11+90/2,6
12011200,1*2-10+0+10-2,0
12011201,1+0+21-11+0-2,9
12011202,1-0-10+22-12,1
12011203,20-1-30+12+1,2
12011204,2*2-10/1+10-4,0
12011205,20+10-15*2+1,1
12011206,1*2+0+60/12-1,6
12011207,1*70/10-2-2/1,3
12011208,8+2+12-10-10,2
12011209,0-29+21+11-0,3
12011210,11-20+12+0+1,4
12011211,2*10-1-1*1*12,7
12011212,22/11+10-12,0
12011213,2+10+11/1-23,0
12011214,24-1*12-11-0,1
12011215,12+12-0-15-1,8
12011216,12+11-6-10-2,5
12011217,1-0-12+2-1+17,7
12011218,8+2*11-10-12,8
12011219,11+9*1*2+1-20,10
12011220,10*22-11*20,0
12011221,1*21-2+0-12-1,6
12011222,20-22+11*1-2,7
12011223,20-11-21/3-2,0
12011224,1+24/12*10/2,11
12011225,15+11-2*20/2,6
12011226,21-10+6-12+2,7
12011227,21+7-2-20*1+1,7
12011228,10-8-2/12*12,0
12011229,19-2*12+12+0,7
12011230,0+1*3+0+21/21,4
12011231,11-23-0+2+11,1
12011232,13+1-12-0-2+2,2
12011233,32*1-0-1+1-32,0
12011234,24/2-0-13+11,10
12011235,25-32+0+11+1,5
12011236,2-6+31-1*20*1,7
12011237,7*1-23+2/1*10,4
12011238,13+21-1+80-2,111
12011239,0+91-13+22*1,100
12011240,0+14+0-11+2+2,7
12011241,21-10-14+2+1,0
12011242,0-22-12+41*1,7
12011243,2+14/1-3-0-12,1
12011244,41-0-42+12-1,10
12011245,1*2+14+0-15+2,3
12011246,0-11+1+24-2-6,6
12011247,71-12+10+42,111
12011248,18+2+0-24+11,7
12011249,20/1-91/14*2,7
12011250,20/5+10-12-1,1
12011251,0-12-1+25-1*1,11
12011252,50-21-22*1/1,7
12011253,1*2+30/15*2*1,6
12011254,5-0+14-22+11,8
12011255,50-1-2*21+5-1,11
12011256,1*5-0-22+16+1,0
12011257,7-10+5+12/12,3
12011258,21-8/2-0-15/1,2
12011259,19-25+12*1+0,6
12011300,21-0-30+1*10,1
12011301,0+1*20+11-31,0
12011302,1+13+0-22+10,2
12011303,21/3-0+13-10,10
12011304,1-13-1+0-4+20,3
12011305,5-20+31-0-11,5
12011306,1-1*21+0+60/3,0
12011307,11-0-17+30/2,9
12011308,0-3+10+2-11+8,6
12011309,0-19+32-1-10,2
12011310,1-2-10+3*1+10,2
12011311,0-1+2+3-11/11,3
12011312,12-31-0+21/1,2
12011313,11/33*21/1+0,7
12011314,1+14-12/1-0+3,6
12011315,11+20-51+31,11
12011316,6+12-0+1-11-3,5
12011317,11+20-17-13,1
12011318,1+31+0-28+1-1,4
12011319,29+10-1-31-1,6
12011320,0+20-13*1+2-1,8
12011321,12/12/1*3/1-0,3
12011322,22+1+3-12-10,4
12011323,2-11/3+1*20/3,5
12011324,1+22-30+1*14,7
12011325,10-3-11*2+25,10
12011326,0-31+26+11-2,4
12011327,2+17-1+3-21+0,0
12011328,1-11+0-2+23-8,3
12011329,1*11-23-0+9*2,6
12011330,0-32+31+10-1,8
12011331,20-33+11+11,9
12011332,1-23+23-0-1/1,0
12011333,1*12*3-30+3-1,8
12011334,0+1+2*4-31+31,9
12011335,3-13+1+15+0-2,4
12011336,31-10-16-3-2,0
12011337,37-31-1-0+2+1,8
12011338,31+3*20+18+1,110
12011339,1+9+32+0-31*1,11
12011340,24-0+10-1*31,3
